tx_price,tx_size,tx_direction
34.63,2,
34.6,1,
34.66,100,
34.66,100,
34.67,200,-1.0
34.67,100,
34.66,300,
34.67,100,
34.67,100,
34.67,100,
34.67,100,
34.63,39,1.0
34.67,6,-1.0
34.66,80,
34.66,1300,
34.66,50,
34.66,100,
34.66,100,
34.67,100,
34.66,100,
34.66,100,
34.66,100,
34.66,100,
34.65,800,
34.65,400,
34.66,100,
34.66,100,
34.66,100,
34.66,100,
34.65,400,
34.645,80,
34.66,2070,
34.65,6200,
34.66,100,
34.66,49,
34.66,200,
34.66,200,
34.65,100,
34.65,49,
34.67,11,-1.0
34.67,17,-1.0
34.65,22,
34.65,100,
34.65,100,
34.65,100,
34.65,100,
34.65,100,
34.65,78,
34.65,100,
34.65,100,
34.64,100,
34.64,100,
34.64,700,
34.66,100,
34.7,280,-1.0
34.66,300,
34.66,200,
34.66,100,
34.66,300,
34.66,300,
34.66,100,-1.0
34.66,100,
34.67,31,-1.0
34.63,5,1.0
34.67,23,-1.0
34.66,100,
34.66,100,
34.65,100,
34.66,700,1.0
34.66,20,
34.66,100,
34.66,400,
34.65,200,
34.66,200,
34.66,100,
34.65,100,
34.65,80,1.0
34.6501,80,
34.65,120,1.0
34.65,180,1.0
34.655,100,
34.6598,100,
34.65,100,
34.6595,100,
34.66,300,
34.66,500,-1.0
34.65,200,
34.66,300,
34.66,200,
34.66,100,
34.66,200,
34.66,100,
34.66,100,
34.66,100,
34.66,200,
34.66,100,
34.66,100,
34.63,100,1.0
34.66,100,
34.65,300,
34.66,100,
34.66,200,
34.66,200,
34.65,420,1.0
34.65,80,
34.65,20,
34.65,200,
34.65,100,
34.65,400,-1.0
34.65,100,
34.65,2400,
34.65,200,
34.65,100,
34.66,100,-1.0
34.66,300,-1.0
34.66,100,
34.66,1900,
34.66,700,
34.65,100,1.0
34.66,100,
34.66,100,-1.0
34.66,100,
34.66,100,
34.66,200,-1.0
34.66,100,
34.66,100,
34.66,200,
34.66,179,-1.0
34.66,300,
34.66,200,-1.0
34.66,600,
34.66,100,
34.66,100,
34.66,100,
34.66,300,
34.66,100,
34.66,100,
34.66,100,
34.66,100,-1.0
34.66,800,-1.0
34.66,600,-1.0
34.66,300,-1.0
34.66,400,-1.0
34.66,200,
34.66,400,
34.66,100,-1.0
34.66,100,-1.0
34.66,100,-1.0
34.66,100,-1.0
34.73,1,-1.0
34.66,100,-1.0
34.66,300,
34.6596,8242,
34.66,300,
34.66,100,
34.66,100,
34.66,100,
34.66,200,-1.0
34.66,222,1.0
34.66,300,
34.66,700,1.0
34.66,700,1.0
34.66,100,1.0
34.67,100,
34.67,100,
34.66,5200,1.0
34.665,100,
34.665,100,
34.66,100,
34.66,100,
34.65,300,1.0
34.65,100,1.0
34.65,100,1.0
34.66,100,-1.0
34.66,300,-1.0
34.66,500,1.0
34.67,100,-1.0
34.67,100,-1.0
34.67,100,
34.67,100,
34.68,300,
34.68,300,
34.68,300,
34.68,180,
34.68,120,
34.68,300,
34.68,300,
34.68,300,
34.68,131,1.0
34.68,169,
34.69,100,-1.0
34.68,100,-1.0
34.69,300,-1.0
34.68,100,-1.0
34.69,300,-1.0
34.69,100,
34.69,100,
34.68,200,-1.0
34.69,100,
34.69,100,-1.0
34.69,100,-1.0
34.69,100,-1.0
34.69,100,-1.0
34.73,1,-1.0
34.69,100,-1.0
34.69,100,-1.0
34.68,100,1.0
34.69,100,
34.69,100,-1.0
34.69,100,-1.0
34.69,100,-1.0
34.69,100,-1.0
34.6,1,1.0
34.68,22,
34.68,100,-1.0
34.69,100,-1.0
34.69,100,
34.69,100,-1.0
34.69,100,-1.0
34.69,100,-1.0
34.69,100,
34.68,100,
34.68,100,
34.68,1,1.0
34.69,100,
